,category,product,Original_price,price,perc_of_unit_sold,rating,shpping_rate,gender
0,Athletic Shoes,Nike SB Check Solar Cnvs Skateboarding Shoes for Men,299.0,211.48,94.0,100.0,FREE Shipping,men
1,Athletic Shoes,"Nike Md Runner 2 Two-Tone Textile-Mesh Suede-Accent Side-Logo Lace-Up Running Athletic Shoes for Men - Wolf Grey, 42.5",349.0,289.99,80.0,88.0,FREE Shipping,men
2,Athletic Shoes,"Nike air Heights Sneaker for Women , Size 38 EU , White",419.0,337.48,77.0,,FREE Shipping,women
3,Athletic Shoes,"Nike Fitness Shoes For Men , 43 EU , Black",319.0,211.48,76.0,80.0,FREE Shipping,men
4,Athletic Shoes,"adidas ASWEERUN Sneaker for Mens, Grey - Size 43.3 EU",259.0,194.99,94.0,,Eligible for FREE Shipping,men
5,Athletic Shoes,"Nike Sport Sneaker Shoes for Men , 44 EU , White",319.0,234.99,30.0,,FREE Shipping,men
6,Athletic Shoes,Adidas Duramo 9 Running Shoes For Men - Core Black,319.0,233.98,68.0,100.0,FREE Shipping,men
7,Athletic Shoes,"Nike Fitness Shoes For Men , 44.5 EU , Gray",389.0,280.98,71.0,,FREE Shipping,men
8,Athletic Shoes,"Nike Air Zoom Pegasus 36 Running Sneakers for Men , Black , Size 43 EU",609.0,470.99,60.0,,FREE Shipping,men
9,Athletic Shoes,"Nike Court Lite 2 Sneaker for Men , Size 42 EU , Black",339.0,236.99,33.0,,FREE Shipping,men
10,Athletic Shoes,"NiKE Tanjun Sneaker for Women, Grey - 38 EU",359.0,225.65,69.0,80.0,FREE Shipping,women
11,Athletic Shoes,"Adidas VS Pace Nubuck Contrast Side Stripe Sport Sneakers for Men - White, 43 1/3",259.0,186.98,86.0,90.0,Eligible for FREE Shipping,men
12,Athletic Shoes,"Nike Fitness Shoes For Men , 42.5 EU , Black",319.0,211.48,87.0,100.0,FREE Shipping,men
13,Athletic Shoes,"Adidas Grand Court Base Faux Leather Contrast Side Stripe Heel Tab Logo Tennis Shoes for Men - Black, 42 2/3",249.0,177.99,75.0,100.0,Eligible for FREE Shipping,men
14,Athletic Shoes,"adidas ASWEERUN Sneaker for Mens, Black - Size 42 EU",259.0,194.99,40.0,,Eligible for FREE Shipping,men
15,Athletic Shoes,"Skechers GO WALK EVOLUTION ULTRA Sneaker for Men , Size 42 EU , Black",279.0,175.98,68.0,90.0,Eligible for FREE Shipping,men
16,Athletic Shoes,"Skechers GO WALK 5 Sneaker for Men , Size 43 EU , Black",349.0,228.48,50.0,100.0,FREE Shipping,men
17,Athletic Shoes,Nike air Monarch IV Training Shoes for Men - Black Size - 43 EU,279.0,234.99,60.0,90.0,FREE Shipping,men
18,Athletic Shoes,"Nike Explore Strada Sneaker for Women , Size 39 EU , White",339.0,245.98,57.0,,FREE Shipping,women
19,Athletic Shoes,Nike Tanjun Sneaker For Men (Black - 43 EU),349.0,284.49,61.0,88.0,FREE Shipping,men
20,Athletic Shoes,"Nike Quest 2 Nylon-Mesh Contrast Side Logo Running Shoes for Men - White, 45",,280.98,71.0,,FREE Shipping,men
21,Athletic Shoes,"Puma Ella Sneaker For Women, Size 39 EU - Color White",249.0,191.49,66.0,,Eligible for FREE Shipping,women
22,Athletic Shoes,Adidas Asweerun Running Shoes For Men - Core Black,255.0,194.99,91.0,100.0,Eligible for FREE Shipping,men
23,Athletic Shoes,"Nike air Zoom Pegasus 36 Sneaker for Men , Size 43 EU , Blue",579.0,421.98,42.0,,FREE Shipping,men
24,Athletic Shoes,"Nike Sport Sneaker Shoes for Men , 44 EU , Black",319.0,202.99,50.0,,FREE Shipping,men
25,Athletic Shoes,"Nike SB ALLEYOOP Sneaker for Mens, Black, 42 EU",349.0,274.48,42.0,,FREE Shipping,men
26,Athletic Shoes,"adidas Grand Court Base Sneakers for Men, Size 42 2/3 EU, White - EE7904",569.0,194.99,84.0,100.0,Eligible for FREE Shipping,men
27,Athletic Shoes,Nike Court Royale Sport Sneakers for Women - White/Metallic Silver Size - 38 EU,319.0,234.99,92.0,100.0,FREE Shipping,women
28,Athletic Shoes,"Nike Flex Experience RN 8 Sneaker for Men , Size 42.5 EU , Grey",359.0,250.49,72.0,100.0,FREE Shipping,men
29,Athletic Shoes,Nike Tanjun Sneaker For Women (White & Black - 38 EU),352.0,251.49,53.0,100.0,FREE Shipping,women
30,Athletic Shoes,Nike Shoes for Men Size 43 EU - Blue,319.0,258.98,61.0,100.0,FREE Shipping,men
31,Athletic Shoes,"Nike Fitness Shoes For Men , 42.5 EU , Gray",579.0,342.49,,,FREE Shipping,men
32,Athletic Shoes,"Nike Quest 2 Sneaker for Men , Size 42.5 EU , Black",389.0,249.0,85.0,,FREE Shipping,men
33,Athletic Shoes,"Nike Downshifter 9 Sneaker for Men , Size 41 EU , Red",319.0,258.98,58.0,,FREE Shipping,men
34,Athletic Shoes,Asics Jolt 2 Sneaker for Men Black 43.5 EU,209.0,139.0,53.0,90.0,Eligible for FREE Shipping,men
35,Athletic Shoes,Nike Tanjun Running Shoe For Men (Black - 42 EU),349.0,259.98,92.0,86.0,FREE Shipping,men
36,Athletic Shoes,Nike Flex Essential Training Shoes for Women (Black - 38 EU),309.0,258.98,76.0,100.0,FREE Shipping,women
37,Athletic Shoes,"Adidas Duramo 9 Nylon Mesh Rubber-Accent Side-Stripe Lace-Up Running Athletic Shoes for Men - Core Black, 42 2/3",289.0,233.98,75.0,88.0,FREE Shipping,men
38,Athletic Shoes,Nike Md Runner 2 Running Shoes for Men - Black/White (43 EU),399.0,289.99,60.0,100.0,FREE Shipping,men
39,Athletic Shoes,"adidas STRUTTER Sneaker for Men , Size 42.7 EU , White",289.0,214.99,90.0,100.0,FREE Shipping,men
40,Athletic Shoes,"Adidas Courtsmash Perforated Genuine Leather Mesh-Accent Lace-up Side-Stripe Tennis Athletic Shoes for Men - Core Black, 44",259.0,194.99,78.0,90.0,Eligible for FREE Shipping,men
41,Athletic Shoes,"Nike FLEX RUNNER Shoe for Kids , Black - 33 EU",199.0,156.48,63.0,,Eligible for FREE Shipping,
42,Athletic Shoes,"Adidas Grand Court Base Faux Leather Contrast Side Stripe Heel Tab Logo Tennis Shoes for Women - White, 40",259.0,192.99,76.0,100.0,Eligible for FREE Shipping,women
43,Athletic Shoes,"Nike Revolution 5 Sneaker for Men , Size 43 EU , White",259.0,211.48,50.0,100.0,FREE Shipping,men
44,Athletic Shoes,"Asics GEL-NIMBUS 22 Running Shoes for Women, Rose Gold, 38 EU",839.0,629.99,33.0,,FREE Shipping,women
45,Athletic Shoes,"Asics GEL-Kayano 26 Running Shoes for Women, Multi Color, 38 EU",839.0,629.99,50.0,,FREE Shipping,women
46,Athletic Shoes,"asics GEL-NIMBUS 22 Running Shoes for Women, Pink, 38 EU",839.0,629.99,33.0,,FREE Shipping,women
47,Athletic Shoes,"Adidas Sooraj Color Block Rubber Sole Lace-Up Running Shoes for Women - Core Black & Grey Five, 38",,214.99,77.0,100.0,FREE Shipping,women
48,Athletic Shoes,"Nike Precision III Sneaker for Men , Size 41 EU , Black",389.0,313.98,77.0,,FREE Shipping,men
49,Athletic Shoes,"Nike Viale Sneaker for Men , Size 45 EU , Black",389.0,269.0,62.0,,FREE Shipping,men
50,Athletic Shoes,"adidas ASWEERUN Sneaker for Womens, PINK - Size 39.3 EU",259.0,194.99,60.0,,Eligible for FREE Shipping,women
51,Athletic Shoes,Nike SB Check Solar Cnvs Skate Boarding Shoes For Men,279.0,211.48,70.0,100.0,FREE Shipping,men
52,Athletic Shoes,Nike SB Check Solar Sneaker For Men (Grey - 43 EU),346.0,258.98,71.0,88.0,FREE Shipping,men
53,Athletic Shoes,"Nike Air Zoom Vomero 14 Running Sneakers for Men , Black , Size 44 EU",709.0,549.49,33.0,,FREE Shipping,men
54,Athletic Shoes,"Skechers Flex Advantage Sr- Mcallen Sneaker For Men Size 46 EU, Black",309.0,308.99,80.0,,FREE Shipping,men
55,Athletic Shoes,"Skechers FLEX ADVANTAGE 3.0 Sneaker for Men , Size 42 EU , Brown",269.0,192.49,66.0,,Eligible for FREE Shipping,men
56,Athletic Shoes,Nike Sb Check Solar Cnvs Sneaker For Men (Black - 43 EU),299.0,211.48,91.0,100.0,FREE Shipping,men
57,Athletic Shoes,"Under Armour Jet Sneakers for Men , Size 41/42 EU",369.0,285.48,55.0,,FREE Shipping,men
58,Athletic Shoes,"adidas Pro Next 2019 GCA Sneaker for Men , Size 42.7 EU , Black",389.0,292.98,40.0,,FREE Shipping,men
59,Athletic Shoes,Nike Shoes for Women -  Multi Color -  Size 39 EU,399.0,270.98,60.0,,FREE Shipping,women
60,Athletic Shoes,"adidas VS PACE Sneaker for Mens, WHITE - Size 41.3 EU",249.0,186.98,60.0,,Eligible for FREE Shipping,men
61,Athletic Shoes,"Nike Pico 5 GS Sneaker for Kids , Size 40 EU , Dark Blue",209.0,140.49,45.0,100.0,Eligible for FREE Shipping,
62,Athletic Shoes,"Skechers GO WALK 5 Sneaker for Men , Size 43.5 EU , Grey",289.0,192.99,60.0,80.0,Eligible for FREE Shipping,men
63,Athletic Shoes,"Nike Flex Method TR Sneaker for Men , Size 43 EU , Black",389.0,270.98,81.0,100.0,FREE Shipping,men
64,Athletic Shoes,"Nike Flexmethod Tr Nylon-Mesh Back Rubber Detail Training Shoes with Pull-Tab for Men - Wolf Grey, 43",,280.98,46.0,,FREE Shipping,men
65,Athletic Shoes,"Nike SB Charge Canvas Sneaker for Men , Size 40 EU , Black",259.0,189.48,50.0,100.0,Eligible for FREE Shipping,men
66,Athletic Shoes,"Adidas Lite Racer RBN Nylon Mesh Side Stripe Running Shoes with Pull Tab for Men - Core Black, 43 1/3",,253.98,84.0,100.0,FREE Shipping,men
67,Athletic Shoes,Asics Gel-Nimbus 21 Sp Sneaker for Women Multi Color 38 EU,629.0,409.0,,,FREE Shipping,women
68,Athletic Shoes,"Asics Gel-Quantum Infinity Sneakers for Men, Black, 43.5 EU",749.0,419.0,,,FREE Shipping,men
69,Athletic Shoes,Ellesse Pamplona Shoe For Women (Black - 38 EU),289.0,152.48,80.0,,Eligible for FREE Shipping,women
70,Athletic Shoes,Ellesse Smash Shoe For Men (White - 43 EU),289.0,152.48,46.0,100.0,Eligible for FREE Shipping,men
71,Athletic Shoes,Ellesse Pamplona Shoe For Women (Black - 39 EU),289.0,152.48,58.0,80.0,Eligible for FREE Shipping,women
72,Athletic Shoes,Ellesse Classic Shoe For Women (Black - 39 EU),279.0,144.98,90.0,,Eligible for FREE Shipping,women
73,Athletic Shoes,"Asics Gel Kayano 25 SP Sneaker for Women, Black/Pink, 37 EU",749.0,359.49,,,FREE Shipping,women
74,Athletic Shoes,"Asics GEL-Nimbus 20 Sneaker for Men, Grey, 36 EU",749.0,359.98,,,FREE Shipping,men
75,Athletic Shoes,"Asics GEL-Nimbus 20 Sneaker for Women, Multi Color, 37 EU",749.0,359.98,,,FREE Shipping,women
76,Athletic Shoes,"Asics GEL-Lyte V Sanze Sneakers for Unisex, Sand, 44 EU",449.0,213.99,66.0,,FREE Shipping,Unisex
77,Athletic Shoes,"Asics Gel-Kayano 5.1 Sneakers for Men, Black, 44 EU",379.0,209.0,60.0,,FREE Shipping,men
78,Athletic Shoes,"Asics Gel-Pulse 10 Sneakers for Men, Silver, 42.5 EU",389.0,209.0,60.0,100.0,FREE Shipping,men
79,Athletic Shoes,"Asics Gel-Saga SOU Sneakers for Men, White, 42.5 EU",339.0,189.0,20.0,,Eligible for FREE Shipping,men
80,Athletic Shoes,"Asics Gel-Kayano 5.1 Sneakers for Men, White, 42 EU",379.0,209.0,,,FREE Shipping,men
81,Athletic Shoes,"Asics Gel-Quantum 90 Sneakers for Men, Multicolour, 42.5 EU",379.0,199.0,,,Eligible for FREE Shipping,men
